date,time,1:t_gpu,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:p_state,1:pwr_tgp,1:NVVDD,1:NVVDDS,1:?,1:fan_rpm,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:?,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:cpu_pstate,1:cpu_cap,1:cpu_temp
2019/11/27,14:49:15,57.8438,1680,100%,4001,99,34,0,52917,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,63
2019/11/27,14:49:16,57.875,1695,99%,4001,99,33,0,49495,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,66
2019/11/27,14:49:17,57.875,1680,100%,4001,99,33,0,53289,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,61
2019/11/27,14:49:18,57.5625,1695,99%,4001,99,31,0,51032,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:49:19,57.9063,1695,99%,4001,99,32,0,52086,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,64
2019/11/27,14:49:20,57.375,1695,99%,4001,99,32,0,52285,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:49:21,57.5938,1665,101%,4001,99,32,0,52018,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,75
2019/11/27,14:49:22,57.5313,1680,100%,4001,99,33,0,52228,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,64
2019/11/27,14:49:24,56.9063,1695,100%,4001,99,32,0,49023,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,62
2019/11/27,14:49:25,57.1875,1680,100%,4001,99,33,0,50999,0,N/A,?,0,16,0,0,3,16,1,1,3,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,N/A,P0,P0,63
